disease name,lncRNA name,score,Rank
oral squamous cell carcinoma,HOTTIP,0.692,9
oral squamous cell carcinoma,BANCR,0.644,10
oral squamous cell carcinoma,BCYRN1,0.616,11
oral squamous cell carcinoma,HULC,0.614,12
oral squamous cell carcinoma,SPRY4-IT1,0.614,13
oral squamous cell carcinoma,AFAP1-AS1,0.55,14
oral squamous cell carcinoma,LINC00675,0.538,15
oral squamous cell carcinoma,HNF1A-AS1,0.522,16
oral squamous cell carcinoma,MIR155HG,0.506,17
oral squamous cell carcinoma,HCP5,0.494,18
oral squamous cell carcinoma,IGF2-AS,0.47,19
oral squamous cell carcinoma,WT1-AS,0.47,20
oral squamous cell carcinoma,TUSC7,0.384,21
oral squamous cell carcinoma,KIRREL3-AS3,0.376,22
oral squamous cell carcinoma,MIAT,0.36,23
oral squamous cell carcinoma,PCA3,0.356,24
oral squamous cell carcinoma,NPTN-IT1,0.356,25
oral squamous cell carcinoma,ESRG,0.342,26
oral squamous cell carcinoma,SOX2-OT,0.338,27
oral squamous cell carcinoma,DISC2,0.328,28
oral squamous cell carcinoma,LSINCT5,0.322,29
oral squamous cell carcinoma,MIR100HG,0.314,30
IMAGe syndrome,CDKN2B-AS1,0.72,1
IMAGe syndrome,HOTAIR,0.41,2
IMAGe syndrome,MEG3,0.344,3
IMAGe syndrome,KCNQ1OT1,0.272,4
IMAGe syndrome,MIR17HG,0.27,5
IMAGe syndrome,MALAT1,0.26,6
IMAGe syndrome,PVT1,0.228,7
IMAGe syndrome,XIST,0.212,8
IMAGe syndrome,PCA3,0.174,9
IMAGe syndrome,GAS5,0.168,10
IMAGe syndrome,CCDC26,0.156,11
IMAGe syndrome,GNAS-AS1,0.15,12
IMAGe syndrome,LINC00474,0.148,13
IMAGe syndrome,AFAP1-AS1,0.146,14
IMAGe syndrome,DANCR,0.146,15
IMAGe syndrome,LINC00163,0.12,16
IMAGe syndrome,NEAT1,0.096,17
IMAGe syndrome,DLEU2,0.096,18
IMAGe syndrome,GSTT1-AS1,0.092,19
IMAGe syndrome,MIR100HG,0.092,20
IMAGe syndrome,LINC01556,0.07,21
IMAGe syndrome,BANCR,0.064,22
IMAGe syndrome,PCGEM1,0.062,23
IMAGe syndrome,HYMAI,0.06,24
IMAGe syndrome,LINC00299,0.056,25
IMAGe syndrome,BCYRN1,0.054,26
IMAGe syndrome,LINC00675,0.054,27
IMAGe syndrome,IGF2-AS,0.048,28
IMAGe syndrome,HULC,0.044,29
IMAGe syndrome,WT1-AS,0.044,30
synucleinopathy,MIAT,0.646,1
synucleinopathy,HCP5,0.632,2
synucleinopathy,LINCMD1,0.624,3
synucleinopathy,KCNQ1OT1,0.608,4
synucleinopathy,ESRG,0.594,5
synucleinopathy,CDKN2B-AS1,0.574,6
synucleinopathy,TP53COR1,0.57,7
synucleinopathy,PVT1,0.568,8
synucleinopathy,MIR17HG,0.556,9
synucleinopathy,CDKN2A-AS1,0.544,10
synucleinopathy,BCYRN1,0.532,11
synucleinopathy,MEG3,0.526,12
synucleinopathy,MIR155HG,0.526,13
synucleinopathy,PISRT1,0.524,14
synucleinopathy,H19,0.524,15
synucleinopathy,MALAT1,0.5,16
synucleinopathy,NEAT1,0.474,17
synucleinopathy,GAS5,0.464,18
synucleinopathy,PCA3,0.452,19
synucleinopathy,HOTAIR,0.428,20
synucleinopathy,DISC2,0.426,21
synucleinopathy,HAR1A,0.424,22
synucleinopathy,AFAP1-AS1,0.422,23
synucleinopathy,DANCR,0.402,24
synucleinopathy,TUG1,0.376,25
synucleinopathy,THRIL,0.372,26
synucleinopathy,HULC,0.348,27
synucleinopathy,DAOA-AS1,0.332,28
synucleinopathy,NRON,0.332,29
synucleinopathy,MIR100HG,0.332,30
medulloblastoma,CDKN2B-AS1,0.87,1
medulloblastoma,MALAT1,0.842,2
medulloblastoma,HOTAIR,0.746,3
medulloblastoma,KCNQ1OT1,0.704,4
medulloblastoma,MEG3,0.7,5
medulloblastoma,PVT1,0.694,6
medulloblastoma,GAS5,0.614,7
medulloblastoma,ESRG,0.468,8
medulloblastoma,NEAT1,0.438,9
medulloblastoma,MIR155HG,0.428,10
medulloblastoma,HCP5,0.412,11
medulloblastoma,XIST,0.412,12
medulloblastoma,TP53COR1,0.354,13
medulloblastoma,PCA3,0.336,14
medulloblastoma,MIAT,0.318,15
medulloblastoma,BANCR,0.306,16
medulloblastoma,GNAS-AS1,0.288,17
medulloblastoma,HULC,0.276,18
medulloblastoma,AFAP1-AS1,0.276,19
medulloblastoma,LINC00474,0.276,20
medulloblastoma,LINC01556,0.258,21
medulloblastoma,GSTT1-AS1,0.24,22
medulloblastoma,LINCMD1,0.236,23
medulloblastoma,ATXN8OS,0.222,24
medulloblastoma,DANCR,0.216,25
medulloblastoma,BCYRN1,0.206,26
medulloblastoma,DISC2,0.202,27
medulloblastoma,IGF2-AS,0.186,28
medulloblastoma,TUG1,0.182,29
medulloblastoma,LINC00675,0.182,30
myelodysplastic syndrome,MALAT1,0.828,1
myelodysplastic syndrome,KCNQ1OT1,0.804,2
myelodysplastic syndrome,CDKN2B-AS1,0.79,3
myelodysplastic syndrome,H19,0.786,4
myelodysplastic syndrome,HOTAIR,0.696,5
myelodysplastic syndrome,MIR17HG,0.684,6
myelodysplastic syndrome,PVT1,0.684,7
myelodysplastic syndrome,MIAT,0.678,8
myelodysplastic syndrome,NEAT1,0.58,9
myelodysplastic syndrome,GAS5,0.558,10
myelodysplastic syndrome,ESRG,0.52,11
myelodysplastic syndrome,XIST,0.514,12
myelodysplastic syndrome,HCP5,0.496,13
myelodysplastic syndrome,MIR155HG,0.452,14
myelodysplastic syndrome,TP53COR1,0.424,15
myelodysplastic syndrome,DISC2,0.406,16
myelodysplastic syndrome,EWSAT1,0.386,17
myelodysplastic syndrome,ATXN8OS,0.38,18
myelodysplastic syndrome,TUG1,0.354,19
myelodysplastic syndrome,RMST,0.35,20
myelodysplastic syndrome,BCYRN1,0.346,21
myelodysplastic syndrome,IGF2-AS,0.346,22
myelodysplastic syndrome,PCA3,0.344,23
myelodysplastic syndrome,CDKN2A-AS1,0.32,24
myelodysplastic syndrome,BANCR,0.31,25
myelodysplastic syndrome,DLEU2,0.302,26
myelodysplastic syndrome,HULC,0.3,27
myelodysplastic syndrome,WT1-AS,0.298,28
myelodysplastic syndrome,LINCMD1,0.296,29
myelodysplastic syndrome,HOTAIRM1,0.292,30
hereditary ataxia,XIST,0.622,1
hereditary ataxia,LINCMD1,0.574,2
hereditary ataxia,PISRT1,0.496,3
hereditary ataxia,CDKN2A-AS1,0.458,4
hereditary ataxia,BCYRN1,0.448,5
hereditary ataxia,HCP5,0.436,6
hereditary ataxia,THRIL,0.428,7
hereditary ataxia,DANCR,0.424,8
hereditary ataxia,MIAT,0.392,9
hereditary ataxia,TP53COR1,0.388,10
hereditary ataxia,PCA3,0.364,11
hereditary ataxia,GSTT1-AS1,0.364,12
hereditary ataxia,ESRG,0.356,13
hereditary ataxia,DISC2,0.356,14
hereditary ataxia,IFNG-AS1,0.35,15
hereditary ataxia,AFAP1-AS1,0.344,16
hereditary ataxia,MIF-AS1,0.344,17
hereditary ataxia,IL12A-AS1,0.334,18
hereditary ataxia,DAOA-AS1,0.328,19
hereditary ataxia,KCNQ1OT1,0.324,20
hereditary ataxia,MIR155HG,0.318,21
hereditary ataxia,LINC01080,0.314,22
hereditary ataxia,LINC00163,0.306,23
hereditary ataxia,LINC00299,0.302,24
hereditary ataxia,PVT1,0.294,25
hereditary ataxia,HULC,0.28,26
hereditary ataxia,TP53TG1,0.276,27
hereditary ataxia,MIR100HG,0.274,28
hereditary ataxia,DLEU2,0.268,29
hereditary ataxia,PWAR4,0.258,30
spinocerebellar ataxia type 8,XIST,0.622,1
spinocerebellar ataxia type 8,LINCMD1,0.574,2
spinocerebellar ataxia type 8,PISRT1,0.496,3
spinocerebellar ataxia type 8,CDKN2A-AS1,0.458,4
spinocerebellar ataxia type 8,BCYRN1,0.448,5
spinocerebellar ataxia type 8,HCP5,0.436,6
spinocerebellar ataxia type 8,THRIL,0.428,7
spinocerebellar ataxia type 8,DANCR,0.424,8
spinocerebellar ataxia type 8,MIAT,0.392,9
spinocerebellar ataxia type 8,TP53COR1,0.388,10
spinocerebellar ataxia type 8,PCA3,0.364,11
spinocerebellar ataxia type 8,GSTT1-AS1,0.364,12
spinocerebellar ataxia type 8,ESRG,0.356,13
spinocerebellar ataxia type 8,DISC2,0.356,14
spinocerebellar ataxia type 8,IFNG-AS1,0.35,15
spinocerebellar ataxia type 8,AFAP1-AS1,0.344,16
spinocerebellar ataxia type 8,MIF-AS1,0.344,17
spinocerebellar ataxia type 8,IL12A-AS1,0.334,18
spinocerebellar ataxia type 8,DAOA-AS1,0.328,19
spinocerebellar ataxia type 8,KCNQ1OT1,0.324,20
spinocerebellar ataxia type 8,MIR155HG,0.318,21
spinocerebellar ataxia type 8,LINC01080,0.314,22
spinocerebellar ataxia type 8,LINC00163,0.306,23
spinocerebellar ataxia type 8,LINC00299,0.302,24
spinocerebellar ataxia type 8,PVT1,0.294,25
spinocerebellar ataxia type 8,HULC,0.28,26
spinocerebellar ataxia type 8,TP53TG1,0.276,27
spinocerebellar ataxia type 8,MIR100HG,0.274,28
spinocerebellar ataxia type 8,DLEU2,0.268,29
spinocerebellar ataxia type 8,PWAR4,0.258,30
developmental disorder of mental health,DAOA-AS1,0.73,1
developmental disorder of mental health,PWAR4,0.714,2
developmental disorder of mental health,CDKN2B-AS1,0.68,3
developmental disorder of mental health,PVT1,0.68,4
developmental disorder of mental health,MIAT,0.678,5
developmental disorder of mental health,MCHR2-AS1,0.66,6
developmental disorder of mental health,THRIL,0.652,7
developmental disorder of mental health,MALAT1,0.632,8
developmental disorder of mental health,MIR17HG,0.618,9
developmental disorder of mental health,H19,0.618,10
developmental disorder of mental health,KCNQ1OT1,0.608,11
developmental disorder of mental health,MEG3,0.606,12
developmental disorder of mental health,ESRG,0.596,13
developmental disorder of mental health,NRON,0.596,14
developmental disorder of mental health,ATXN8OS,0.57,15
developmental disorder of mental health,HOTAIR,0.562,16
developmental disorder of mental health,MIF-AS1,0.56,17
developmental disorder of mental health,GAS5,0.552,18
developmental disorder of mental health,HCP5,0.546,19
developmental disorder of mental health,NEAT1,0.542,20
developmental disorder of mental health,LINCMD1,0.528,21
developmental disorder of mental health,HCG9,0.524,22
developmental disorder of mental health,GSTT1-AS1,0.516,23
developmental disorder of mental health,LINC00163,0.514,24
developmental disorder of mental health,LINC00271,0.504,25
developmental disorder of mental health,PISRT1,0.502,26
developmental disorder of mental health,XIST,0.498,27
developmental disorder of mental health,TP53COR1,0.496,28
developmental disorder of mental health,MIR155HG,0.482,29
developmental disorder of mental health,HAR1A,0.478,30
specific developmental disorder,THRIL,0.656,1
specific developmental disorder,DISC2,0.642,2
specific developmental disorder,MIAT,0.624,3
specific developmental disorder,PWAR4,0.614,4
specific developmental disorder,DAOA-AS1,0.584,5
specific developmental disorder,ATXN8OS,0.57,6
specific developmental disorder,MIF-AS1,0.562,7
specific developmental disorder,KCNQ1OT1,0.552,8
specific developmental disorder,NRON,0.542,9
specific developmental disorder,ESRG,0.538,10
specific developmental disorder,LINCMD1,0.52,11
specific developmental disorder,MEG3,0.52,12
specific developmental disorder,PVT1,0.52,13
specific developmental disorder,GSTT1-AS1,0.518,14
specific developmental disorder,MCHR2-AS1,0.516,15
specific developmental disorder,XIST,0.514,16
specific developmental disorder,CDKN2B-AS1,0.508,17
specific developmental disorder,MALAT1,0.492,18
specific developmental disorder,MIR17HG,0.49,19
specific developmental disorder,TP53COR1,0.484,20
specific developmental disorder,HCP5,0.484,21
specific developmental disorder,IL12A-AS1,0.484,22
specific developmental disorder,PCA3,0.47,23
specific developmental disorder,PISRT1,0.462,24
specific developmental disorder,LINC00163,0.462,25
specific developmental disorder,H19,0.462,26
specific developmental disorder,GNAS-AS1,0.448,27
specific developmental disorder,NEAT1,0.434,28
specific developmental disorder,HOTAIR,0.43,29
specific developmental disorder,SNHG11,0.408,30
pervasive developmental disorder,DAOA-AS1,0.572,1
pervasive developmental disorder,TP53TG1,0.528,2
pervasive developmental disorder,THRIL,0.498,3
pervasive developmental disorder,ESRG,0.482,4
pervasive developmental disorder,PWAR4,0.48,5
pervasive developmental disorder,MIF-AS1,0.474,6
pervasive developmental disorder,LINC00299,0.462,7
pervasive developmental disorder,GSTT1-AS1,0.452,8
pervasive developmental disorder,MCHR2-AS1,0.43,9
pervasive developmental disorder,LINCMD1,0.428,10
pervasive developmental disorder,MIAT,0.424,11
pervasive developmental disorder,LINC00163,0.42,12
pervasive developmental disorder,PCA3,0.396,13
pervasive developmental disorder,ATXN8OS,0.396,14
pervasive developmental disorder,NRON,0.378,15
pervasive developmental disorder,XIST,0.372,16
pervasive developmental disorder,TP53COR1,0.364,17
pervasive developmental disorder,DANCR,0.356,18
pervasive developmental disorder,IL12A-AS1,0.342,19
pervasive developmental disorder,GNAS-AS1,0.336,20
pervasive developmental disorder,AFAP1-AS1,0.332,21
pervasive developmental disorder,HCG9,0.33,22
pervasive developmental disorder,HCP5,0.326,23
pervasive developmental disorder,PISRT1,0.298,24
pervasive developmental disorder,RMST,0.298,25
pervasive developmental disorder,LINC01556,0.296,26
pervasive developmental disorder,MIR17HG,0.292,27
pervasive developmental disorder,CDKN2B-AS1,0.282,28
pervasive developmental disorder,KCNQ1OT1,0.278,29
pervasive developmental disorder,MEG3,0.268,30
autism spectrum disorder,DAOA-AS1,0.586,1
autism spectrum disorder,TP53TG1,0.54,2
autism spectrum disorder,THRIL,0.5,3
autism spectrum disorder,ESRG,0.486,4
autism spectrum disorder,PWAR4,0.486,5
autism spectrum disorder,MIF-AS1,0.476,6
autism spectrum disorder,LINC00299,0.464,7
autism spectrum disorder,GSTT1-AS1,0.454,8
autism spectrum disorder,MCHR2-AS1,0.436,9
autism spectrum disorder,MIAT,0.434,10
autism spectrum disorder,LINCMD1,0.432,11
autism spectrum disorder,LINC00163,0.422,12
autism spectrum disorder,ATXN8OS,0.404,13
autism spectrum disorder,PCA3,0.398,14
autism spectrum disorder,NRON,0.39,15
autism spectrum disorder,XIST,0.372,16
autism spectrum disorder,TP53COR1,0.37,17
autism spectrum disorder,DANCR,0.36,18
autism spectrum disorder,IL12A-AS1,0.352,19
autism spectrum disorder,HCG9,0.34,20
autism spectrum disorder,GNAS-AS1,0.34,21
autism spectrum disorder,HCP5,0.33,22
autism spectrum disorder,AFAP1-AS1,0.328,23
autism spectrum disorder,PISRT1,0.308,24
autism spectrum disorder,LINC01556,0.306,25
autism spectrum disorder,RMST,0.296,26
autism spectrum disorder,MIR17HG,0.292,27
autism spectrum disorder,CDKN2B-AS1,0.284,28
autism spectrum disorder,KCNQ1OT1,0.28,29
autism spectrum disorder,MEG3,0.27,30
hypersensitivity,MIR17HG,0.838,1
hypersensitivity,CDKN2B-AS1,0.75,2
hypersensitivity,PVT1,0.744,3
hypersensitivity,MALAT1,0.71,4
hypersensitivity,H19,0.704,5
hypersensitivity,HOTAIR,0.7,6
hypersensitivity,KCNQ1OT1,0.662,7
hypersensitivity,MEG3,0.606,8
hypersensitivity,MIR155HG,0.542,9
hypersensitivity,ESRG,0.526,10
hypersensitivity,NEAT1,0.468,11
hypersensitivity,PCA3,0.45,12
hypersensitivity,LINCMD1,0.432,13
hypersensitivity,ATXN8OS,0.424,14
hypersensitivity,TP53COR1,0.406,15
hypersensitivity,THRIL,0.406,16
hypersensitivity,NRON,0.404,17
hypersensitivity,AFAP1-AS1,0.4,18
hypersensitivity,HULC,0.378,19
hypersensitivity,BANCR,0.366,20
hypersensitivity,DISC2,0.348,21
hypersensitivity,TUG1,0.346,22
hypersensitivity,GSTT1-AS1,0.328,23
hypersensitivity,MIAT,0.306,24
hypersensitivity,DANCR,0.3,25
hypersensitivity,LINC00675,0.296,26
hypersensitivity,MIF-AS1,0.274,27
hypersensitivity,CDKN2A-AS1,0.266,28
hypersensitivity,PISRT1,0.256,29
hypersensitivity,BCYRN1,0.254,30
lymphoma,CDKN2B-AS1,0.966,1
lymphoma,H19,0.964,2
lymphoma,MEG3,0.946,3
lymphoma,NEAT1,0.876,4
lymphoma,XIST,0.858,5
lymphoma,UCA1,0.836,6
lymphoma,BANCR,0.79,7
lymphoma,WT1-AS,0.756,8
lymphoma,TP53COR1,0.736,9
lymphoma,HOTTIP,0.674,10
lymphoma,SPRY4-IT1,0.636,11
lymphoma,HCP5,0.634,12
lymphoma,CCAT2,0.634,13
lymphoma,KCNQ1OT1,0.618,14
lymphoma,IGF2-AS,0.604,15
lymphoma,ESRG,0.586,16
lymphoma,BCYRN1,0.58,17
lymphoma,CCAT1,0.58,18
lymphoma,MIR100HG,0.576,19
lymphoma,LINC00675,0.548,20
lymphoma,AFAP1-AS1,0.542,21
lymphoma,TUSC7,0.532,22
lymphoma,MIAT,0.516,23
lymphoma,PCA3,0.5,24
lymphoma,HNF1A-AS1,0.498,25
lymphoma,CDKN2A-AS1,0.498,26
lymphoma,ATXN8OS,0.49,27
lymphoma,TP73-AS1,0.47,28
lymphoma,CCDC26,0.458,29
lymphoma,LINCMD1,0.406,30
non-Hodgkin lymphoma,H19,0.95,1
non-Hodgkin lymphoma,CDKN2B-AS1,0.946,2
non-Hodgkin lymphoma,MEG3,0.924,3
non-Hodgkin lymphoma,NEAT1,0.828,4
non-Hodgkin lymphoma,XIST,0.812,5
non-Hodgkin lymphoma,UCA1,0.808,6
non-Hodgkin lymphoma,BANCR,0.792,7
non-Hodgkin lymphoma,WT1-AS,0.688,8
non-Hodgkin lymphoma,HOTTIP,0.656,9
non-Hodgkin lymphoma,TP53COR1,0.654,10
non-Hodgkin lymphoma,DLEU2,0.638,11
non-Hodgkin lymphoma,HCP5,0.612,12
non-Hodgkin lymphoma,CCAT2,0.612,13
non-Hodgkin lymphoma,SPRY4-IT1,0.602,14
non-Hodgkin lymphoma,IGF2-AS,0.578,15
non-Hodgkin lymphoma,BCYRN1,0.57,16
non-Hodgkin lymphoma,ESRG,0.558,17
non-Hodgkin lymphoma,LINC00675,0.546,18
non-Hodgkin lymphoma,CCAT1,0.544,19
non-Hodgkin lymphoma,AFAP1-AS1,0.534,20
non-Hodgkin lymphoma,TUSC7,0.516,21
non-Hodgkin lymphoma,MIR100HG,0.508,22
non-Hodgkin lymphoma,MIAT,0.478,23
non-Hodgkin lymphoma,HNF1A-AS1,0.468,24
non-Hodgkin lymphoma,PCA3,0.462,25
non-Hodgkin lymphoma,ATXN8OS,0.432,26
non-Hodgkin lymphoma,CDKN2A-AS1,0.426,27
non-Hodgkin lymphoma,LINCMD1,0.396,28
non-Hodgkin lymphoma,KCNQ1OT1,0.382,29
non-Hodgkin lymphoma,CCDC26,0.38,30
benign neoplasm,CDKN2B-AS1,0.964,1
benign neoplasm,PVT1,0.852,2
benign neoplasm,MIR17HG,0.796,3
benign neoplasm,GAS5,0.764,4
benign neoplasm,NEAT1,0.722,5
benign neoplasm,UCA1,0.564,6
benign neoplasm,XIST,0.554,7
benign neoplasm,TUG1,0.54,8
benign neoplasm,MIR155HG,0.52,9
benign neoplasm,HCP5,0.488,10
benign neoplasm,BANCR,0.45,11
benign neoplasm,AFAP1-AS1,0.44,12
benign neoplasm,HOTTIP,0.434,13
benign neoplasm,WT1-AS,0.432,14
benign neoplasm,BCYRN1,0.426,15
benign neoplasm,HULC,0.424,16
benign neoplasm,MIAT,0.408,17
benign neoplasm,IGF2-AS,0.406,18
benign neoplasm,CCAT2,0.386,19
benign neoplasm,SPRY4-IT1,0.378,20
benign neoplasm,LINC00675,0.378,21
benign neoplasm,ESRG,0.35,22
benign neoplasm,DISC2,0.342,23
benign neoplasm,HNF1A-AS1,0.3,24
benign neoplasm,PCA3,0.286,25
benign neoplasm,CCAT1,0.284,26
benign neoplasm,SOX2-OT,0.264,27
benign neoplasm,MIR503HG,0.254,28
benign neoplasm,LINC00629,0.254,29
benign neoplasm,DANCR,0.252,30
immune system cancer,XIST,0.962,1
immune system cancer,KCNQ1OT1,0.892,2
immune system cancer,BANCR,0.872,3
immune system cancer,BCYRN1,0.838,4
immune system cancer,CCAT2,0.838,5
immune system cancer,SPRY4-IT1,0.824,6
immune system cancer,TUSC7,0.772,7
immune system cancer,LSINCT5,0.738,8
immune system cancer,IGF2-AS,0.72,9
immune system cancer,GHET1,0.698,10
immune system cancer,HCP5,0.696,11
immune system cancer,SNHG12,0.69,12
immune system cancer,CRNDE,0.676,13
immune system cancer,NPTN-IT1,0.67,14
immune system cancer,ESRG,0.668,15
immune system cancer,PCAT1,0.668,16
immune system cancer,PCA3,0.664,17
immune system cancer,PRNCR1,0.664,18
immune system cancer,MIAT,0.656,19
immune system cancer,SOX2-OT,0.644,20
immune system cancer,HNF1A-AS1,0.642,21
immune system cancer,DANCR,0.638,22
immune system cancer,CASC2,0.638,23
immune system cancer,CDKN2A-AS1,0.622,24
immune system cancer,LINC00675,0.618,25
immune system cancer,LINC00467,0.614,26
immune system cancer,CASC16,0.612,27
immune system cancer,LINC00583,0.612,28
immune system cancer,NPSR1-AS1,0.612,29
immune system cancer,HOXA11-AS,0.608,30
cell type benign neoplasm,CDKN2B-AS1,0.874,1
cell type benign neoplasm,MALAT1,0.856,2
cell type benign neoplasm,H19,0.85,3
cell type benign neoplasm,MIR17HG,0.736,4
cell type benign neoplasm,PVT1,0.708,5
cell type benign neoplasm,HOTAIR,0.704,6
cell type benign neoplasm,MIAT,0.698,7
cell type benign neoplasm,GAS5,0.606,8
cell type benign neoplasm,XIST,0.56,9
cell type benign neoplasm,NEAT1,0.548,10
cell type benign neoplasm,HCP5,0.514,11
cell type benign neoplasm,ESRG,0.494,12
